lon,lat,lon_norm,lat_norm,lon_bin,lat_bin,partition_id,local_cluster,is_border,global_cluster
121.4666,31.2208,0.4434382836444622,0.3004044943820225,53,36,53_36,-1,True,-1
121.4681,31.2211,0.44552800222903616,0.30067415730337016,53,36,53_36,-1,True,-1
121.4695,31.2216,0.4474784062412814,0.3011235955056163,53,36,53_36,-1,True,-1
121.47,31.2216,0.448174979102806,0.3011235955056163,53,36,53_36,-1,True,-1
121.4695,31.2215,0.4474784062412814,0.3010337078651671,53,36,53_36,-1,True,-1
121.4695,31.2218,0.4474784062412814,0.301303370786518,53,36,53_36,-1,True,-1
121.4691,31.223,0.4469211479520656,0.3023820224719087,53,36,53_36,-1,False,-1
121.4683,31.222,0.44580663137363413,0.30148314606741644,53,36,53_36,-1,True,-1
121.4688,31.2213,0.44650320423515877,0.3008539325842686,53,36,53_36,-1,True,-1
121.4695,31.2215,0.4474784062412814,0.3010337078651671,53,36,53_36,-1,True,-1
121.4695,31.2215,0.4474784062412814,0.3010337078651671,53,36,53_36,-1,True,-1
121.4695,31.2215,0.4474784062412814,0.3010337078651671,53,36,53_36,-1,True,-1
121.4693,31.2228,0.4471997770966834,0.30220224719101024,53,36,53_36,-1,False,-1
121.469,31.2246,0.44678183337975674,0.3038202247190996,53,36,53_36,-1,False,-1
121.4696,31.2243,0.44761772081359025,0.30355056179775186,53,36,53_36,-1,False,-1
121.4705,31.2251,0.44887155196433065,0.30426966292134894,53,36,53_36,-1,True,-1
121.4703,31.2263,0.4485929228197129,0.30534831460673967,53,36,53_36,-1,True,-1
121.4715,31.2268,0.45026469768738,0.305797752808989,54,36,54_36,-1,True,-1
121.4726,31.2273,0.45179715798271836,0.30624719101123515,54,36,54_36,-1,True,-1
121.4743,31.2281,0.45416550571189024,0.3069662921348322,54,36,54_36,-1,True,-1
121.4748,31.229,0.4548620785734149,0.30777528089887524,54,36,54_36,-1,True,-1
121.4743,31.23,0.45416550571189024,0.3086741573033707,54,37,54_37,-1,True,-1
121.4736,31.231,0.4531903037057676,0.3095730337078662,54,37,54_37,-1,True,-1
121.473,31.2316,0.45235441627193407,0.31011235955056154,54,37,54_37,-1,True,-1
121.4733,31.2325,0.45277235998884097,0.3109213483146078,54,37,54_37,-1,False,-1
121.4743,31.233,0.45416550571189024,0.31137078651685396,54,37,54_37,-1,False,-1
121.4755,31.234,0.45583728057953754,0.31226966292134944,54,37,54_37,-1,False,-1
121.4771,31.2341,0.45806631373640055,0.3123595505617987,54,37,54_37,-1,True,-1
121.4783,31.2343,0.4597380886040676,0.3125393258426971,55,37,55_37,-1,True,-1
121.4795,31.2346,0.46140986347171487,0.31280898876404484,55,37,55_37,-1,False,-1
121.4806,31.2345,0.46294232376705324,0.3127191011235956,55,37,55_37,-1,False,-1
